ingredients,total,value,id_ingredients
pepper,417,rendah,0
salt,410,rendah,1
garlic,317,rendah,2
water,250,sedang,3
onion,15,tinggi,4
white sugar,8,tinggi,5
vegetable oil,152,sedang,6
chicken,134,tinggi,7
olive oil,12,tinggi,8
soy sauce,119,tinggi,9
butter,93,tinggi,10
all-purpose flour,82,tinggi,11
ground cumin,75,tinggi,12
fish sauce,73,tinggi,13
eggs,71,tinggi,14
ginger root,70,tinggi,15
cilantro,37,tinggi,16
tomatoes,69,tinggi,17
green onions,60,tinggi,18
paprika,53,tinggi,19
parsley,12,tinggi,20
ground turmeric,49,tinggi,21
milk,46,tinggi,22
sesame oil,46,tinggi,23
lime juice,43,tinggi,24
cornstarch,42,tinggi,25
coconut milk,42,tinggi,26
garlic powder,41,tinggi,27
oregano,41,tinggi,28
potatoes,40,tinggi,29
ground coriander,40,tinggi,30
chili powder,39,tinggi,31
brown sugar,38,tinggi,32
carrots,38,tinggi,33
curry powder,38,tinggi,34
lemon juice,37,tinggi,35
onions,36,tinggi,36
ginger,35,tinggi,37
rice vinegar,34,tinggi,38
tomato sauce,33,tinggi,39
egg,33,tinggi,40
basil,31,tinggi,41
green onion,27,tinggi,42
flour tortillas,26,tinggi,43
garam masala,26,tinggi,44
carrot,25,tinggi,45
heavy cream,25,tinggi,46
ground cinnamon,25,tinggi,47
tomato paste,24,tinggi,48
lime,24,tinggi,49
lemon,22,tinggi,50
honey,22,tinggi,51
bean sprouts,21,tinggi,52
ground beef,20,tinggi,53
tomato,20,tinggi,54
Parmesan cheese,12,tinggi,55
ground ginger,20,tinggi,56
bay leaves,19,tinggi,57
mushrooms,19,tinggi,58
sour cream,18,tinggi,59
spinach,17,tinggi,60
bay leaf,17,tinggi,61
plain yogurt,17,tinggi,62
Monterey Jack cheese,17,tinggi,63
white wine,16,tinggi,64
ketchup,16,tinggi,65
white rice,16,tinggi,66
salsa,15,tinggi,67
cucumber,15,tinggi,68
mayonnaise,15,tinggi,69
black beans,15,tinggi,70
shrimp,14,tinggi,71
peanut oil,14,tinggi,72
cumin seeds,14,tinggi,73
lean ground beef,14,tinggi,74
ola oil,14,tinggi,75
vanilla extract,14,tinggi,76
onion powder,13,tinggi,77
boneless,13,tinggi,78
extra-virgin olive oil,13,tinggi,79
rice wine vinegar,13,tinggi,80
rice noodles,13,tinggi,81
black olives,13,tinggi,82
Cheddar cheese,13,tinggi,83
mint,13,tinggi,84
sesame seeds,9,tinggi,85
red onion,12,tinggi,86
egg yolks,12,tinggi,87
shallots,12,tinggi,88
baking powder,12,tinggi,89
oyster sauce,12,tinggi,90
yellow onion,11,tinggi,91
whole cloves,11,tinggi,92
thyme,11,tinggi,93
head cabbage,6,tinggi,94
package cream cheese,11,tinggi,95
mint leaves,11,tinggi,96
shiitake mushrooms,11,tinggi,97
red wine,11,tinggi,98
distilled white vinegar,11,tinggi,99
green beans,11,tinggi,100
ground pork,10,tinggi,101
vegetable oil for frying,10,tinggi,102
oil for frying,7,tinggi,103
whole kernel corn,10,tinggi,104
mirin (Japanese sweet wine),10,tinggi,105
heavy whipping cream,10,tinggi,106
bunch green onions,10,tinggi,107
lemon grass,9,tinggi,108
cilantro leaves,9,tinggi,109
corn tortillas,9,tinggi,110
dry white wine,9,tinggi,111
hoisin sauce,9,tinggi,112
sake,9,tinggi,113
balsamic vinegar,9,tinggi,114
active dry yeast,8,tinggi,115
zucchini,8,tinggi,116
white vinegar,8,tinggi,117
peanuts,6,tinggi,118
package taco seasoning mix,8,tinggi,119
mozzarella cheese,8,tinggi,120
slices bacon,8,tinggi,121
lemon zest,8,tinggi,122
raisins,8,tinggi,123
creamy peanut butter,8,tinggi,124
miso paste,8,tinggi,125
vegetable broth,8,tinggi,126
peanut butter,8,tinggi,127
sugar,8,tinggi,128
margarine,8,tinggi,129
Worcestershire sauce,8,tinggi,130
cucumbers,7,tinggi,131
stalks celery,7,tinggi,132
ground cardamom,7,tinggi,133
melted butter,7,tinggi,134
egg whites,7,tinggi,135
white onion,7,tinggi,136
jasmine rice,7,tinggi,137
ground nutmeg,7,tinggi,138
cumin,7,tinggi,139
vocado,7,tinggi,140
condensed milk,7,tinggi,141
red wine vinegar,7,tinggi,142
long grain white rice,6,tinggi,143
dark sesame oil,6,tinggi,144
basil leaves,6,tinggi,145
curry paste,6,tinggi,146
sweet onion,6,tinggi,147
limes,6,tinggi,148
short-grain white rice,6,tinggi,149
dark soy sauce,6,tinggi,150
basmati rice,6,tinggi,151
beef broth,6,tinggi,152
chives,6,tinggi,153
bacon,6,tinggi,154
